original_doctor,First_Name,Last_Name,Supervisor_First_Name,Supervisor_Last_Name,Level
10000000163,Παναγιώτης,Αντωνίου,Αναστασία,Σταύρου,1
10000000168,Σοφία,Αντωνίου,Χριστίνα,Παπαδόπουλος,1
10000000174,Στέφανος,Οικονόμου,Άννα,Αθανασίου,1
10000000175,Ανδρέας,Δημητρίου,Νίκος,Σταύρου,1
10000000177,Αλέξανδρος,Ιωάννου,Δήμητρα,Παπαδόπουλος,1
10000000184,Χριστίνα,Παπαδόπουλος,Κώστας,Δημητρίου,1
10000000188,Κώστας,Γεωργίου,Αλέξανδρος,Κωνσταντίνου,1
10000000192,Άννα,Μακρής,Δήμητρα,Παπαδόπουλος,1
10000000193,Κώστας,Παπαδόπουλος,Αναστασία,Σταύρου,1
10000000195,Μαρία,Παπαδόπουλος,Σοφία,Κωνσταντίνου,1
10000000197,Βασίλης,Παπαδόπουλος,Δήμητρα,Σταύρου,1
10000000198,Αλέξανδρος,Οικονόμου,Χριστίνα,Παπαδόπουλος,1
10000000206,Ιωάννα,Νικολάου,Βασίλης,Οικονόμου,1
10000000207,Γεωργία,Νικολάου,Δήμητρα,Παπαδόπουλος,1
10000000210,Δημήτρης,Κωνσταντίνου,Σοφία,Κωνσταντίνου,1
10000000213,Νίκος,Νικολάου,Χριστίνα,Παπαδόπουλος,1
10000000215,Ανδρέας,Σταύρου,Βασίλης,Πέτρου,1
10000000221,Βασίλης,Μακρής,Βασίλης,Οικονόμου,1
10000000224,Δήμητρα,Μακρής,Μαρία,Αθανασίου,1
10000000225,Μαρία,Μακρής,Σοφία,Κωνσταντίνου,1
10000000226,Άννα,Γεωργίου,Νίκος,Γεωργίου,1
10000000229,Κώστας,Ιωάννου,Κώστας,Δημητρίου,1
10000000230,Νίκος,Μακρής,Βασίλης,Πέτρου,1
10000000231,Αναστασία,Μακρής,Βασίλης,Δημητρίου,1
10000000241,Παναγιώτης,Αντωνίου,Νίκος,Γεωργίου,1
10000000242,Αλέξανδρος,Αντωνίου,Δήμητρα,Σταύρου,1
10000000244,Μαρία,Κωνσταντίνου,Κώστας,Δημητρίου,1
10000000247,Αλέξανδρος,Γεωργίου,Βασίλης,Πέτρου,1
10000000250,Μιχάλης,Νικολάου,Νίκος,Σταύρου,1
10000000253,Μιχάλης,Μακρής,Αναστασία,Σταύρου,1
10000000256,Ανδρέας,Κωνσταντίνου,Νίκος,Γεωργίου,1
10000000258,Κατερίνα,Μακρής,Χριστίνα,Παπαδόπουλος,1
10000000261,Ανδρέας,Οικονόμου,Βασίλης,Δημητρίου,1
10000000263,Ιωάννα,Αντωνίου,Αλέξανδρος,Κωνσταντίνου,1
10000000264,Δημήτρης,Αντωνίου,Άννα,Αθανασίου,1
10000000268,Δημήτρης,Πέτρου,Αναστασία,Σταύρου,1
10000000269,Γιώργος,Σταύρου,Μαρία,Αθανασίου,1
10000000270,Ιωάννα,Αθανασίου,Σοφία,Κωνσταντίνου,1
10000000271,Χριστίνα,Παπαδόπουλος,Νίκος,Γεωργίου,1
10000000275,Ανδρέας,Πέτρου,Βασίλης,Πέτρου,1
10000000276,Μαρία,Ιωάννου,Βασίλης,Δημητρίου,1
10000000277,Κώστας,Αθανασίου,Βασίλης,Πέτρου,1
10000000278,Βασίλης,Οικονόμου,Αλέξανδρος,Κωνσταντίνου,1
10000000279,Βασίλης,Αθανασίου,Άννα,Αθανασίου,1
10000000281,Αναστασία,Οικονόμου,Βασίλης,Οικονόμου,1
10000000282,Μαρία,Μακρής,Δήμητρα,Παπαδόπουλος,1
10000000290,Αλέξανδρος,Κωνσταντίνου,Βασίλης,Πέτρου,1
10000000292,Αναστασία,Σταύρου,Βασίλης,Πέτρου,1
10000000298,Ελένη,Αντωνίου,Αναστασία,Σταύρου,1
10000000300,Κατερίνα,Δημητρίου,Σοφία,Κωνσταντίνου,1
10000000301,Κατερίνα,Μακρής,Νίκος,Γεωργίου,1
10000000310,Μαρία,Ιωάννου,Νίκος,Σταύρου,1
10000000311,Ανδρέας,Γεωργίου,Βασίλης,Οικονόμου,1
10000000312,Νίκος,Σταύρου,Δήμητρα,Παπαδόπουλος,1
10000000315,Γεωργία,Αντωνίου,Σοφία,Κωνσταντίνου,1
10000000316,Μιχάλης,Μακρής,Νίκος,Γεωργίου,1
10000000322,Γεωργία,Οικονόμου,Βασίλης,Πέτρου,1
10000000331,Στέφανος,Νικολάου,Νίκος,Γεωργίου,1
10000000332,Κατερίνα,Αθανασίου,Δήμητρα,Σταύρου,1
10000000334,Αλέξανδρος,Αθανασίου,Κώστας,Δημητρίου,1
10000000343,Άννα,Οικονόμου,Αναστασία,Σταύρου,1
10000000344,Δημήτρης,Κωνσταντίνου,Μαρία,Αθανασίου,1
10000000346,Μαρία,Παπαδόπουλος,Νίκος,Γεωργίου,1
10000000347,Ελένη,Πέτρου,Δήμητρα,Σταύρου,1
10000000351,Ελένη,Σταύρου,Βασίλης,Δημητρίου,1
10000000355,Βασίλης,Σταύρου,Νίκος,Σταύρου,1
10000000356,Μιχάλης,Ιωάννου,Βασίλης,Οικονόμου,1
10000000357,Παναγιώτης,Μακρής,Δήμητρα,Παπαδόπουλος,1
10000000360,Νίκος,Σταύρου,Σοφία,Κωνσταντίνου,1
10000000362,Ανδρέας,Κωνσταντίνου,Δήμητρα,Σταύρου,1
10000000367,Ιωάννα,Δημητρίου,Βασίλης,Πέτρου,1
10000000368,Γεωργία,Πέτρου,Αλέξανδρος,Κωνσταντίνου,1
10000000373,Παναγιώτης,Μακρής,Αναστασία,Σταύρου,1
10000000375,Αλέξανδρος,Ιωάννου,Σοφία,Κωνσταντίνου,1
10000000376,Κατερίνα,Αντωνίου,Νίκος,Νικολάου,1
10000000376,Νίκος,Νικολάου,Χριστίνα,Παπαδόπουλος,2
10000000377,Γεωργία,Αντωνίου,Νίκος,Αντωνίου,1
10000000377,Νίκος,Αντωνίου,Βασίλης,Οικονόμου,2
10000000378,Στέφανος,Ιωάννου,Παναγιώτης,Δημητρίου,1
10000000379,Ελένη,Αθανασίου,Σοφία,Νικολάου,1
10000000380,Δήμητρα,Πέτρου,Ιωάννα,Νικολάου,1
10000000380,Ιωάννα,Νικολάου,Δήμητρα,Σταύρου,2
10000000381,Γεωργία,Μακρής,Ελένη,Σταύρου,1
10000000382,Κώστας,Σταύρου,Βασίλης,Πέτρου,1
10000000383,Κώστας,Αντωνίου,Αλέξανδρος,Ιωάννου,1
10000000384,Βασίλης,Γεωργίου,Αναστασία,Δημητρίου,1
10000000385,Γιώργος,Κωνσταντίνου,Γιώργος,Σταύρου,1
10000000385,Γιώργος,Σταύρου,Βασίλης,Οικονόμου,2
10000000386,Δήμητρα,Πέτρου,Στέφανος,Πέτρου,1
10000000387,Ιωάννα,Νικολάου,Βασίλης,Γεωργίου,1
10000000387,Βασίλης,Γεωργίου,Μαρία,Αθανασίου,2
10000000388,Παναγιώτης,Παπαδόπουλος,Ιωάννα,Παπαδόπουλος,1
10000000389,Ανδρέας,Οικονόμου,Παναγιώτης,Πέτρου,1
10000000389,Παναγιώτης,Πέτρου,Άννα,Αθανασίου,2
10000000390,Δήμητρα,Σταύρου,Ιωάννα,Νικολάου,1
10000000390,Ιωάννα,Νικολάου,Δήμητρα,Σταύρου,2
10000000391,Αλέξανδρος,Οικονόμου,Αναστασία,Σταύρου,1
10000000392,Αναστασία,Παπαδόπουλος,Δημήτρης,Σταύρου,1
10000000393,Κατερίνα,Αθανασίου,Βασίλης,Αθανασίου,1
10000000394,Σοφία,Γεωργίου,Βασίλης,Γεωργίου,1
10000000394,Βασίλης,Γεωργίου,Άννα,Αθανασίου,2
10000000395,Ελένη,Οικονόμου,Ιωάννα,Οικονόμου,1
10000000395,Ιωάννα,Οικονόμου,Σοφία,Κωνσταντίνου,2
10000000396,Δημήτρης,Σταύρου,Βασίλης,Δημητρίου,1
10000000397,Αναστασία,Μακρής,Σοφία,Δημητρίου,1
10000000397,Σοφία,Δημητρίου,Δήμητρα,Σταύρου,2
10000000398,Ανδρέας,Ιωάννου,Αναστασία,Νικολάου,1
10000000399,Δήμητρα,Οικονόμου,Κατερίνα,Νικολάου,1
10000000400,Μαρία,Δημητρίου,Δημήτρης,Κωνσταντίνου,1
10000000400,Δημήτρης,Κωνσταντίνου,Βασίλης,Πέτρου,2
10000000401,Αλέξανδρος,Αντωνίου,Σοφία,Πέτρου,1
10000000401,Σοφία,Πέτρου,Χριστίνα,Παπαδόπουλος,2
10000000402,Παναγιώτης,Αντωνίου,Δήμητρα,Μακρής,1
10000000403,Σοφία,Κωνσταντίνου,Μαρία,Πέτρου,1
10000000404,Παναγιώτης,Νικολάου,Βασίλης,Ιωάννου,1
10000000405,Αλέξανδρος,Σταύρου,Σοφία,Νικολάου,1
10000000406,Παναγιώτης,Αθανασίου,Νίκος,Αθανασίου,1
10000000407,Κατερίνα,Γεωργίου,Μιχάλης,Αθανασίου,1
10000000408,Χριστίνα,Κωνσταντίνου,Δήμητρα,Παπαδόπουλος,1
10000000409,Ανδρέας,Οικονόμου,Μαρία,Σταύρου,1
10000000409,Μαρία,Σταύρου,Κώστας,Δημητρίου,2
10000000410,Δημήτρης,Αντωνίου,Στέφανος,Νικολάου,1
10000000410,Στέφανος,Νικολάου,Αλέξανδρος,Κωνσταντίνου,2
10000000411,Νίκος,Σταύρου,Δημήτρης,Σταύρου,1
10000000412,Στέφανος,Οικονόμου,Μιχάλης,Σταύρου,1
10000000413,Δήμητρα,Σταύρου,Βασίλης,Πέτρου,1
10000000414,Νίκος,Οικονόμου,Κώστας,Μακρής,1
10000000415,Αλέξανδρος,Γεωργίου,Άννα,Γεωργίου,1
10000000416,Κώστας,Παπαδόπουλος,Δημήτρης,Οικονόμου,1
10000000416,Δημήτρης,Οικονόμου,Κώστας,Δημητρίου,2
10000000417,Παναγιώτης,Οικονόμου,Γιώργος,Σταύρου,1
10000000417,Γιώργος,Σταύρου,Βασίλης,Οικονόμου,2
10000000418,Δήμητρα,Δημητρίου,Γεωργία,Αντωνίου,1
10000000419,Βασίλης,Δημητρίου,Δήμητρα,Οικονόμου,1
10000000419,Δήμητρα,Οικονόμου,Αναστασία,Σταύρου,2
10000000420,Κώστας,Παπαδόπουλος,Βασίλης,Οικονόμου,1
10000000421,Ανδρέας,Ιωάννου,Κατερίνα,Πέτρου,1
10000000422,Νίκος,Γεωργίου,Άννα,Γεωργίου,1
10000000423,Γιώργος,Δημητρίου,Κατερίνα,Νικολάου,1
10000000424,Ελένη,Αθανασίου,Ανδρέας,Αθανασίου,1
10000000425,Μιχάλης,Αθανασίου,Βασίλης,Δημητρίου,1
10000000426,Κατερίνα,Ιωάννου,Αναστασία,Παπαδόπουλος,1
10000000426,Αναστασία,Παπαδόπουλος,Χριστίνα,Παπαδόπουλος,2
10000000427,Νίκος,Αντωνίου,Νίκος,Παπαδόπουλος,1
10000000427,Νίκος,Παπαδόπουλος,Αναστασία,Σταύρου,2
10000000428,Χριστίνα,Δημητρίου,Αλέξανδρος,Παπαδόπουλος,1
10000000429,Νίκος,Σταύρου,Ιωάννα,Παπαδόπουλος,1
10000000429,Ιωάννα,Παπαδόπουλος,Μαρία,Αθανασίου,2
10000000430,Κατερίνα,Δημητρίου,Βασίλης,Αθανασίου,1
